,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
1,028260,50,dt,21,0.523809524,1818.181818,1840,0.988142292,20000,18400,1.086956522,
2,028260,50,rf,33,0.393939394,1607.692308,1290,1.246273107,20900,25800,0.810077519,
3,028260,50,xg,38,0.447368421,1452.941176,1020,1.424452134,24700,20400,1.210784314,
0,028260,100,lg,19,0.631578947,1725,2942.857143,0.586165049,20700,20600,1.004854369,
1,028260,100,dt,18,0.388888889,1728.571429,1780,0.971107544,12100,17800,0.679775281,
2,028260,100,rf,30,0.5,1286.666667,1428.571429,0.900666667,19300,20000,0.965,
3,028260,100,xg,32,0.53125,1317.647059,1650,0.798573975,22400,19800,1.131313131,
0,028260,150,lg,16,0.625,1580,2983.333333,0.529608939,15800,17900,0.882681564,
1,028260,150,dt,27,0.37037037,1770,1293.75,1.368115942,17700,20700,0.855072464,
2,028260,150,rf,35,0.4,1578.571429,1180,1.337772397,22100,23600,0.936440678,
3,028260,150,xg,30,0.5,1053.333333,1060,0.993710692,15800,15900,0.993710692,
0,028260,200,lg,16,0.625,1560,2916.666667,0.534857143,15600,17500,0.891428571,
1,028260,200,dt,27,0.518518519,1085.714286,1366.666667,0.794425087,15200,16400,0.926829268,
2,028260,200,rf,31,0.483870968,1833.333333,1235.714286,1.483622351,27500,17300,1.589595376,
3,028260,200,xg,24,0.625,1833.333333,1444.444444,1.269230769,27500,13000,2.115384615,
0,028260,250,lg,10,0.6,916.6666667,3300,0.277777778,5500,13200,0.416666667,
1,028260,250,dt,27,0.37037037,1980,1576.470588,1.255970149,19800,26800,0.73880597,
2,028260,250,rf,22,0.318181818,1828.571429,1461.538462,1.25112782,12800,19000,0.673684211,
3,028260,250,xg,34,0.411764706,2350,1388.235294,1.69279661,32900,23600,1.394067797,
0,005490,20,lg,16,0.5625,1411.111111,2757.142857,0.511801957,12700,19300,0.658031088,1.553488372
1,005490,20,dt,17,0.588235294,1550,1500,1.033333333,15500,10500,1.476190476,
2,005490,20,rf,41,0.463414634,1368.421053,1120,1.221804511,26000,22400,1.160714286,
3,005490,20,xg,31,0.483870968,1526.666667,956.25,1.596514161,22900,15300,1.496732026,
0,005490,50,lg,6,0.333333333,2900,2825,1.026548673,5800,11300,0.513274336,
1,005490,50,dt,26,0.5,1484.615385,1825,0.813487882,19300,21900,0.881278539,
2,005490,50,rf,33,0.484848485,1037.5,1294.117647,0.801704545,16600,22000,0.754545455,
3,005490,50,xg,34,0.470588235,1593.75,982.3529412,1.62238024,25500,16700,1.526946108,
0,005490,100,lg,20,0.5,2050,3380,0.606508876,20500,33800,0.606508876,
1,005490,100,dt,32,0.5625,1238.888889,2558.333333,0.484256243,22300,30700,0.726384365,
2,005490,100,rf,40,0.5,1455,1395,1.043010753,29100,27900,1.043010753,
3,005490,100,xg,29,0.517241379,1846.666667,1546.153846,1.194361526,27700,20100,1.378109453,
0,005490,150,lg,20,0.55,1890.909091,3544.444444,0.533485323,20800,31900,0.652037618,
1,005490,150,dt,34,0.5,1423.529412,1494.117647,0.952755906,24200,25400,0.952755906,
2,005490,150,rf,28,0.5,1657.142857,1950,0.84981685,23200,27300,0.84981685,
3,005490,150,xg,29,0.482758621,1635.714286,1521.428571,1.075117371,22900,21300,1.075117371,
0,005490,200,lg,15,0.466666667,2342.857143,3262.5,0.718117132,16400,26100,0.62835249,
1,005490,200,dt,20,0.35,2071.428571,1823.076923,1.136226643,14500,23700,0.611814346,
2,005490,200,rf,23,0.565217391,1592.307692,2520,0.631868132,20700,25200,0.821428571,
3,005490,200,xg,35,0.628571429,1518.181818,1653.846154,0.917970402,33400,21500,1.553488372,
0,005490,250,lg,18,0.555555556,1370,3412.5,0.401465201,13700,27300,0.501831502,
1,005490,250,dt,14,0.142857143,350,1183.333333,0.295774648,700,14200,0.049295775,
2,005490,250,rf,24,0.333333333,2112.5,1726.666667,1.223455598,16900,25900,0.652509653,
3,005490,250,xg,38,0.447368421,1952.941176,1363.157895,1.43265955,33200,25900,1.281853282,
0,105560,20,lg,22,0.5,1409.090909,890.9090909,1.581632653,15500,9800,1.581632653,3.851851852
1,105560,20,dt,26,0.576923077,1086.666667,950,1.143859649,16300,9500,1.715789474,
2,105560,20,rf,44,0.454545455,1335,1386.956522,0.962539185,26700,31900,0.836990596,
3,105560,20,xg,33,0.515151515,905.8823529,1471.428571,0.615648201,15400,20600,0.747572816,
0,105560,50,lg,13,0.615384615,962.5,1680,0.572916667,7700,8400,0.916666667,
